"Date","Province","HA","HSDA","Cases_Reported","Cases_Reported_Smoothed"
2020-05-16,"BC","Northern","Northern Interior",1,0.43
2020-05-16,"BC","Northern","Northwest",0,0
2020-05-16,"BC","Northern","Unknown",0,0
2020-05-16,"BC","Vancouver Coastal","All",4,1.29
2020-05-16,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",2,0.29
2020-05-16,"BC","Vancouver Coastal","Richmond",0,0.14
2020-05-16,"BC","Vancouver Coastal","Unknown",0,0
2020-05-16,"BC","Vancouver Coastal","Vancouver",2,0.86
2020-05-16,"BC","Vancouver Island","All",0,0
2020-05-16,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-16,"BC","Vancouver Island","North Vancouver Island",0,0
2020-05-16,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-16,"Out of Canada","Out of Canada","Out of Canada",0,0.14
2020-05-17,"BC","All","All",8,12.86
2020-05-17,"BC","Fraser","All",6,10.71
2020-05-17,"BC","Fraser","Fraser East",1,2.43
2020-05-17,"BC","Fraser","Fraser North",1,1
2020-05-17,"BC","Fraser","Fraser South",4,7.29
2020-05-17,"BC","Fraser","Unknown",0,0
2020-05-17,"BC","Interior","All",0,0.29
2020-05-17,"BC","Interior","East Kootenay",0,0.14
2020-05-17,"BC","Interior","Kootenay Boundary",0,0
2020-05-17,"BC","Interior","Okanagan",0,0
2020-05-17,"BC","Interior","Thompson Cariboo Shuswap",0,0.14
2020-05-17,"BC","Northern","All",0,0.43
2020-05-17,"BC","Northern","Northeast",0,0.14
2020-05-17,"BC","Northern","Northern Interior",0,0.29
2020-05-17,"BC","Northern","Northwest",0,0
2020-05-17,"BC","Northern","Unknown",0,0
2020-05-17,"BC","Vancouver Coastal","All",2,1.43
2020-05-17,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",1,0.43
2020-05-17,"BC","Vancouver Coastal","Richmond",0,0.14
2020-05-17,"BC","Vancouver Coastal","Unknown",0,0
2020-05-17,"BC","Vancouver Coastal","Vancouver",1,0.86
2020-05-17,"BC","Vancouver Island","All",0,0
2020-05-17,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-17,"BC","Vancouver Island","North Vancouver Island",0,0
2020-05-17,"BC","Vancouver Island","South Vancouver Island",0,0
2020-05-17,"Out of Canada","Out of Canada","Out of Canada",1,0.29
2020-05-18,"BC","All","All",9,12.43
2020-05-18,"BC","Fraser","All",8,10.43
2020-05-18,"BC","Fraser","Fraser East",6,3.29
2020-05-18,"BC","Fraser","Fraser North",1,0.86
2020-05-18,"BC","Fraser","Fraser South",1,6.29
2020-05-18,"BC","Fraser","Unknown",0,0
2020-05-18,"BC","Interior","All",0,0.29
2020-05-18,"BC","Interior","East Kootenay",0,0.14
2020-05-18,"BC","Interior","Kootenay Boundary",0,0
2020-05-18,"BC","Interior","Okanagan",0,0
2020-05-18,"BC","Interior","Thompson Cariboo Shuswap",0,0.14
2020-05-18,"BC","Northern","All",0,0.43
2020-05-18,"BC","Northern","Northeast",0,0.14
2020-05-18,"BC","Northern","Northern Interior",0,0.29
2020-05-18,"BC","Northern","Northwest",0,0
2020-05-18,"BC","Northern","Unknown",0,0
2020-05-18,"BC","Vancouver Coastal","All",1,1.29
2020-05-18,"BC","Vancouver Coastal","North Shore/Coast Garibaldi",1,0.57
2020-05-18,"BC","Vancouver Coastal","Richmond",0,0
2020-05-18,"BC","Vancouver Coastal","Unknown",0,0
2020-05-18,"BC","Vancouver Coastal","Vancouver",0,0.71
2020-05-18,"BC","Vancouver Island","All",0,0
2020-05-18,"BC","Vancouver Island","Central Vancouver Island",0,0
2020-05-18,"BC","Vancouver Island","North Vancouver Island",0,0
